Operas,Theater,City,Dates,Price,Company Outbound,Route Outbound,Time Outbound,Duration Outbound,Direct Outbound?,Company Inbound,Route Inbound,Time Inbound,Duration Inbound,Direct Inboud?
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,204 €,Air France,CDG–TXL,12:15 – 14:00,1 h 45 min,Sans escale,Air France,TXL–CDG,06:15 – 08:05,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,225 €,Air France,CDG–TXL,12:15 – 14:00,1 h 45 min,Sans escale,Air France,TXL–CDG,09:45 – 11:35,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,204 €,Air France,CDG–TXL,15:15 – 16:55,1 h 40 min,Sans escale,Air France,TXL–CDG,06:15 – 08:05,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,225 €,Air France,CDG–TXL,15:15 – 16:55,1 h 40 min,Sans escale,Air France,TXL–CDG,09:45 – 11:35,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,219 €,easyJet,ORY–TXL,14:00 – 15:45,1 h 45 min,Sans escale,easyJet,TXL–ORY,20:35 – 22:25,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,226 €,easyJet,ORY–TXL,14:00 – 15:45,1 h 45 min,Sans escale,easyJet,TXL–ORY,18:25 – 20:15,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,225 €,easyJet,ORY–TXL,18:20 – 20:05,1 h 45 min,Sans escale,easyJet,TXL–ORY,20:35 – 22:25,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,232 €,easyJet,ORY–TXL,18:20 – 20:05,1 h 45 min,Sans escale,easyJet,TXL–ORY,18:25 – 20:15,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,227 €,Air France,CDG–TXL,20:45 – 22:25,1 h 40 min,Sans escale,Air France,TXL–CDG,06:15 – 08:05,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,248 €,Air France,CDG–TXL,20:45 – 22:25,1 h 40 min,Sans escale,Air France,TXL–CDG,09:45 – 11:35,1 h 50 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,230 €,easyJet,CDG–TXL,17:40 – 19:30,1 h 50 min,Sans escale,easyJet,TXL–CDG,20:10 – 21:55,1 h 45 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,290 €,easyJet,CDG–TXL,17:40 – 19:30,1 h 50 min,Sans escale,easyJet,TXL–CDG,08:35 – 10:20,1 h 45 min,Sans escale
"{'West Side Story', 'La Bohème', 'Die Zauberflöte', 'Katja Kabanowa ', 'Die lustigen Weiber von Windsor', 'The Bassarids'}","{'Komische Oper', 'Staatsoper Unter den Linden', 'Deutsche Oper'}",['Berlin'],2019-10-11 - 2019-10-13,246 €,easyJet,CDG–SXF,16:30 – 18:15,1 h 45 min,Sans escale,easyJet,SXF–CDG,14:10 – 15:55,1 h 45 min,Sans escale
